当前为第1条语料。
鸡 B-LOC
冠 I-LOC
嘴 I-LOC
金 B-MT
矿 I-MT
床 I-MT
自 O
1 O
9 O
8 O
9 O
年 O
以 O
来 O
已 O
有 O
1 O
5 O
年 O
的 O
开 O
采 O
历 O
史 O
, O
自 O
上 O
而 O
下 O
共 O
8 O
个 O
中 O
段 O
, O
近 O
4 O
0 O
0 O
m O
延 O
深 O
, O
其 O
中 O
Ⅰ B-MB
、 O
Ⅱ B-MB
、 O
Ⅲ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
大 O
部 O
分 O
已 O
经 O
开 O
采 O
。 O
本 O
文 O
对 O
其 O
矿 O
体 O
的 O
地 O
质 O
赋 O
存 O
规 O
律 O
作 O
初 O
步 O
研 O
究 O
探 O
讨 O
, O
以 O
期 O
为 O
日 O
后 O
的 O
深 O
边 O
部 O
找 O
矿 O
指 O
明 O
方 O
向 O
。 O
﻿

当前为第2条语料，且该条语料无标注实体。
矿 O
区 O
外 O
围 O
出 O
露 O
的 O
地 O
层 O
有 O
志 O
留 O
系 O
砂 O
页 O
岩 O
、 O
石 O
炭 O
系 O
灰 O
岩 O
、 O
二 O
叠 O
系 O
灰 O
岩 O
、 O
三 O
叠 O
系 O
下 O
统 O
灰 O
岩 O
、 O
中 O
统 O
白 O
云 O
质 O
灰 O
岩 O
、 O
中 O
上 O
统 O
砂 O
页 O
岩 O
、 O
白 O
垩 O
系 O
下 O
统 O
火 O
山 O
沉 O
积 O
角 O
砾 O
岩 O
、 O
砂 O
页 O
岩 O
与 O
砾 O
岩 O
以 O
及 O
第 O
四 O
系 O
大 O
冶 O
湖 O
粘 O
土 O
层 O
, O
和 O
砂 O
砾 O
石 O
层 O
, O
堆 O
积 O
的 O
残 O
一 O
坡 O
积 O
层 O
, O
总 O
厚 O
度 O
大 O
于 O
3 O
5 O
0 O
0 O
m O
。 O
﻿

当前为第3条语料，且该条语料无标注实体。
区 O
内 O
地 O
表 O
大 O
部 O
分 O
为 O
第 O
四 O
系 O
湖 O
积 O
粘 O
土 O
所 O
覆 O
盖 O
, O
仅 O
在 O
西 O
南 O
部 O
分 O
出 O
露 O
火 O
山 O
沉 O
积 O
角 O
砾 O
岩 O
。 O
﻿

当前为第4条语料，且该条语料无标注实体。
据 O
工 O
程 O
揭 O
露 O
资 O
料 O
, O
按 O
其 O
岩 O
性 O
特 O
征 O
、 O
岩 O
性 O
组 O
合 O
、 O
沉 O
积 O
构 O
造 O
标 O
志 O
等 O
, O
并 O
在 O
区 O
域 O
地 O
层 O
对 O
比 O
的 O
基 O
础 O
上 O
, O
将 O
伏 O
于 O
第 O
四 O
系 O
之 O
下 O
的 O
火 O
山 O
碎 O
屑 O
岩 O
、 O
熔 O
岩 O
、 O
角 O
砾 O
岩 O
及 O
碳 O
酸 O
盐 O
岩 O
初 O
步 O
归 O
属 O
为 O
下 O
白 O
垩 O
统 O
灵 O
乡 O
组 O
及 O
马 O
架 O
山 O
组 O
, O
中 O
上 O
三 O
叠 O
统 O
蒲 O
圻 O
群 O
, O
中 O
三 O
叠 O
统 O
陆 O
水 O
河 O
组 O
和 O
下 O
三 O
叠 O
统 O
大 O
冶 O
群 O
。 O
﻿

当前为第5条语料，且该条语料无标注实体。
( O
1 O
) O
下 O
三 O
叠 O
统 O
大 O
冶 O
群 O
伏 O
于 O
中 O
三 O
叠 O
陆 O
水 O
河 O
组 O
之 O
下 O
, O
未 O
见 O
底 O
。 O
﻿

当前为第6条语料，且该条语料无标注实体。
分 O
布 O
于 O
0 O
1 O
6 O
至 O
0 O
2 O
8 O
线 O
+ O
1 O
0 O
m O
~ O
- O
5 O
1 O
0 O
m O
范 O
围 O
。 O
﻿

当前为第7条语料，且该条语料无标注实体。
纵 O
向 O
上 O
呈 O
“ O
菱 O
角 O
” O
悬 O
垂 O
于 O
岩 O
体 O
内 O
, O
横 O
向 O
上 O
形 O
成 O
了 O
形 O
态 O
各 O
异 O
的 O
捕 O
虏 O
体 O
。 O
﻿

当前为第8条语料，且该条语料无标注实体。
主 O
要 O
岩 O
性 O
为 O
灰 O
岩 O
~ O
白 O
云 O
质 O
灰 O
岩 O
, O
均 O
已 O
变 O
质 O
为 O
大 O
理 O
岩 O
, O
据 O
其 O
岩 O
化 O
特 O
征 O
将 O
其 O
划 O
分 O
为 O
一 O
套 O
连 O
续 O
沉 O
积 O
的 O
第 O
六 O
、 O
第 O
七 O
岩 O
性 O
段 O
, O
而 O
其 O
中 O
第 O
七 O
岩 O
性 O
段 O
与 O
上 O
覆 O
地 O
层 O
呈 O
不 O
整 O
合 O
接 O
触 O
关 O
系 O
。 O
﻿

当前为第9条语料，且该条语料无标注实体。
( O
2 O
) O
中 O
三 O
叠 O
陆 O
水 O
河 O
组 O
。 O
﻿

当前为第10条语料，且该条语料无标注实体。
主 O
要 O
分 O
布 O
于 O
0 O
1 O
9 O
~ O
0 O
2 O
1 O
线 O
0 O
~ O
- O
1 O
4 O
0 O
m O
之 O
间 O
。 O
﻿

当前为第11条语料，且该条语料无标注实体。
岩 O
性 O
为 O
含 O
白 O
云 O
质 O
大 O
理 O
岩 O
, O
紫 O
红 O
色 O
或 O
黄 O
褐 O
色 O
, O
微 O
细 O
粒 O
变 O
晶 O
结 O
构 O
, O
中 O
厚 O
层 O
至 O
薄 O
层 O
状 O
构 O
造 O
。 O
﻿

当前为第12条语料，且该条语料无标注实体。
上 O
部 O
有 O
粉 O
砂 O
岩 O
, O
下 O
部 O
有 O
泥 O
质 O
灰 O
岩 O
, O
伪 O
厚 O
6 O
0 O
~ O
1 O
0 O
0 O
m O
。 O
﻿

当前为第13条语料，且该条语料无标注实体。
( O
3 O
) O
中 O
三 O
叠 O
统 O
蒲 O
圻 O
群 O
主 O
要 O
分 O
布 O
于 O
