当前为第1条语料。
沙 B-LOC
沟 I-LOC
金 B-MT
矿 I-MT
位 O
于 O
秦 O
( O
岭 O
) O
祁 O
( O
连 O
山 O
) O
昆 O
( O
仑 O
山 O
) O
成 O
矿 O
域 O
内 O
, O
秦 O
岭 O
褶 O
皱 O
系 O
— O
— O
— O
柞 O
水 O
海 O
西 O
冒 O
地 O
槽 O
褶 O
皱 O
带 O
中 O
部 O
, O
西 O
成 O
铅 O
锌 O
多 O
金 O
属 O
成 O
矿 O
带 O
东 O
段 O
。 O
区 O
域 O
地 O
层 O
总 O
体 O
呈 O
东 O
西 O
向 O
展 O
布 O
, O
出 O
露 O
有 O
泥 O
盆 O
系 O
、 O
三 O
迭 O
系 O
、 O
中 O
— O
— O
— O
下 O
侏 O
罗 O
系 O
, O
三 O
者 O
之 O
间 O
为 O
断 O
层 O
接 O
触 O
, O
第 O
三 O
系 O
与 O
中 O
— O
— O
— O
下 O
侏 O
罗 O
系 O
为 O
角 O
度 O
不 O
整 O
合 O
接 O
触 O
。 O
﻿

当前为第2条语料，且该条语料无标注实体。
区 O
域 O
褶 O
皱 O
构 O
造 O
以 O
东 O
西 O
向 O
展 O
布 O
的 O
吴 O
家 O
山 O
复 O
背 O
斜 O
为 O
骨 O
架 O
对 O
地 O
层 O
和 O
矿 O
带 O
的 O
展 O
布 O
起 O
主 O
要 O
控 O
制 O
作 O
用 O
, O
两 O
翼 O
次 O
级 O
褶 O
皱 O
发 O
育 O
, O
在 O
背 O
斜 O
向 O
东 O
倾 O
伏 O
的 O
东 O
段 O
发 O
育 O
有 O
洛 O
坝 O
Ⅲ O
级 O
背 O
斜 O
与 O
矿 O
床 O
密 O
切 O
相 O
关 O
。 O
﻿

当前为第3条语料，且该条语料无标注实体。
区 O
内 O
断 O
裂 O
构 O
造 O
发 O
育 O
, O
以 O
近 O
东 O
西 O
向 O
、 O
北 O
东 O
向 O
为 O
主 O
, O
均 O
具 O
有 O
多 O
期 O
活 O
动 O
特 O
点 O
, O
F O
1 O
是 O
黄 O
渚 O
关 O
东 O
西 O
向 O
区 O
域 O
大 O
断 O
裂 O
东 O
延 O
至 O
矿 O
床 O
北 O
缘 O
的 O
一 O
部 O
分 O
, O
在 O
洛 O
坝 O
表 O
现 O
为 O
北 O
倾 O
的 O
逆 O
断 O
层 O
, O
糜 O
署 O
岭 O
花 O
岗 O
闪 O
长 O
岩 O
基 O
即 O
沿 O
该 O
断 O
裂 O
侵 O
入 O
并 O
逆 O
冲 O
覆 O
于 O
泥 O
盆 O
系 O
之 O
上 O
, O
是 O
矿 O
床 O
的 O
主 O
要 O
导 O
矿 O
构 O
造 O
。 O
﻿

当前为第4条语料，且该条语料无标注实体。
区 O
内 O
岩 O
浆 O
活 O
动 O
频 O
繁 O
, O
主 O
要 O
在 O
印 O
支 O
期 O
— O
— O
— O
燕 O
山 O
期 O
形 O
成 O
了 O
糜 O
署 O
岭 O
花 O
岗 O
闪 O
长 O
岩 O
体 O
和 O
各 O
种 O
岩 O
脉 O
, O
海 O
西 O
期 O
形 O
成 O
了 O
少 O
量 O
的 O
超 O
基 O
性 O
岩 O
脉 O
。 O
﻿

当前为第5条语料。
糜 O
署 O
岭 O
岩 O
体 O
出 O
露 O
于 O
矿 O
区 O
北 O
部 O
, O
受 O
东 O
西 O
向 O
大 O
断 O
裂 O
控 O
制 O
, O
为 O
中 O
— O
— O
— O
深 O
成 O
相 O
, O
中 O
等 O
剥 O
蚀 O
程 O
度 O
, O
沙 B-LOC
沟 I-LOC
金 B-MT
矿 I-MT
产 O
于 O
岩 O
体 O
东 O
端 O
南 O
接 O
触 O
带 O
外 O
侧 O
, O
接 O
触 O
带 O
蚀 O
变 O
明 O
显 O
, O
以 O
角 O
岩 O
化 O
和 O
矽 O
卡 O
岩 O
化 O
为 O
主 O
。 O
区 O
域 O
变 O
质 O
分 O
布 O
普 O
遍 O
, O
受 O
区 O
域 O
浅 O
变 O
质 O
作 O
用 O
影 O
响 O
, O
大 O
面 O
积 O
出 O
露 O
有 O
绿 O
片 O
岩 O
相 O
的 O
绢 O
云 O
母 O
— O
— O
— O
绿 O
泥 O
石 O
亚 O
相 O
, O
洛 O
坝 O
一 O
带 O
由 O
于 O
构 O
造 O
动 O
力 O
作 O
用 O
活 O
动 O
强 O
烈 O
, O
使 O
各 O
类 O
岩 O
石 O
普 O
遍 O
产 O
生 O
碎 O
裂 O
现 O
象 O
, O
呈 O
现 O
相 O
应 O
的 O
动 O
力 O
变 O
质 O
的 O
多 O
种 O
蚀 O
变 O
现 O
象 O
。 O
矿 O
区 O
出 O
露 O
地 O
层 O
为 O
中 O
泥 O
盆 O
统 O
西 O
汉 O
水 O
组 O
第 O
六 O
岩 O
性 O
段 O
第 O
三 O
层 O
( O
D O
2 O
2 O
X O
h O
6 O
3 O
) O
, O
呈 O
近 O
东 O
西 O
向 O
展 O
布 O
, O
按 O
岩 O
性 O
组 O
合 O
进 O
一 O
步 O
划 O
分 O
为 O
三 O
个 O
亚 O
层 O
。 O
﻿

当前为第6条语料，且该条语料无标注实体。
第 O
一 O
亚 O
层 O
( O
D O
2 O
2 O
X O
h O
6 O
3 O
- O
1 O
) O
分 O
布 O
于 O
矿 O
区 O
中 O
部 O
, O
因 O
赋 O
矿 O
性 O
能 O
不 O
同 O
又 O
可 O
分 O
为 O
两 O
个 O
小 O
层 O
, O
第 O
一 O
小 O
层 O
( O
D O
2 O
2 O
X O
h O
6 O
3 O
- O
1 O
a O
) O
位 O
于 O
矿 O
区 O
中 O
偏 O
南 O
部 O
, O
岩 O
性 O
为 O
中 O
厚 O
层 O
灰 O
岩 O
夹 O
生 O
物 O
碎 O
屑 O
灰 O
岩 O
, O
局 O
部 O
夹 O
有 O
石 O
英 O
扁 O
豆 O
体 O
。 O
﻿

当前为第7条语料，且该条语料无标注实体。
第 O
二 O
小 O
层 O
( O
D O
2 O
2 O
X O
h O
6 O
3 O
- O
1 O
b O
) O
位 O
于 O
矿 O
区 O
中 O
部 O
, O
岩 O
性 O
为 O
石 O
英 O
岩 O
, O
局 O
部 O
夹 O
千 O
枚 O
岩 O
薄 O
层 O
, O
厚 O
度 O
> O
2 O
0 O
0 O
m O
, O
为 O
沙 O
沟 O
金 O
矿 O
赋 O
矿 O
岩 O
层 O
( O
见 O
图 O
1 O
) O
。 O
﻿

当前为第9条语料，且该条语料无标注实体。
第 O
三 O
亚 O
层 O
( O
D O
2 O
2 O
X O
h O
6 O
3 O
- O
