当前为第1条语料。
黑 B-MB
河 I-MB
市 I-MB
三 I-MB
道 I-MB
湾 I-MB
子 I-MB
岩 I-MB
金 B-MT
矿 I-MT
体 I-MT
赋 O
存 O
于 O
晚 O
侏 O
罗 O
世 O
塔 O
木 O
兰 O
沟 O
组 O
安 O
山 O
岩 O
中 O
, O
是 O
石 B-MT
英 I-MT
脉 I-MT
型 I-MT
矿 I-MT
体 I-MT
。 O
通 O
过 O
对 O
其 O
围 O
岩 O
及 O
金 O
矿 O
体 O
稀 O
土 O
元 O
素 O
和 O
稳 O
定 O
同 O
位 O
素 O
的 O
研 O
究 O
, O
发 O
现 O
围 O
岩 O
安 O
山 O
岩 O
与 O
石 O
英 O
脉 O
金 O
矿 O
体 O
稀 O
土 O
配 O
分 O
曲 O
线 O
缓 O
右 O
倾 O
, O
形 O
态 O
基 O
本 O
一 O
致 O
, O
∑ O
R O
E O
E O
逐 O
渐 O
降 O
低 O
。 O
﻿

当前为第2条语料，且该条语料无标注实体。
δ O
3 O
4 O
S O
均 O
一 O
化 O
程 O
度 O
较 O
高 O
, O
分 O
布 O
范 O
围 O
集 O
中 O
, O
接 O
近 O
陨 O
石 O
硫 O
, O
具 O
明 O
显 O
的 O
幔 O
源 O
硫 O
同 O
位 O
素 O
组 O
成 O
特 O
点 O
。 O
﻿

当前为第3条语料，且该条语料无标注实体。
铅 O
同 O
位 O
素 O
组 O
成 O
以 O
高 O
放 O
射 O
性 O
成 O
因 O
铅 O
为 O
特 O
点 O
, O
围 O
岩 O
与 O
石 O
英 O
脉 O
金 O
矿 O
体 O
比 O
值 O
十 O
分 O
接 O
近 O
, O
在 O
铅 O
同 O
位 O
素 O
构 O
造 O
模 O
式 O
图 O
上 O
样 O
品 O
投 O
影 O
点 O
均 O
落 O
于 O
地 O
幔 O
与 O
造 O
山 O
带 O
间 O
。 O
﻿

当前为第4条语料，且该条语料无标注实体。
上 O
述 O
特 O
征 O
显 O
示 O
成 O
矿 O
流 O
体 O
和 O
物 O
质 O
主 O
要 O
来 O
自 O
岩 O
浆 O
热 O
液 O
或 O
矿 O
区 O
火 O
山 O
岩 O
, O
矿 O
床 O
形 O
成 O
于 O
伸 O
展 O
构 O
造 O
环 O
境 O
, O
深 O
源 O
岩 O
浆 O
作 O
用 O
为 O
成 O
矿 O
过 O
程 O
中 O
成 O
矿 O
物 O
质 O
运 O
移 O
和 O
流 O
体 O
循 O
环 O
提 O
供 O
了 O
热 O
能 O
。 O
﻿

当前为第5条语料，且该条语料无标注实体。
矿 O
床 O
位 O
于 O
松 O
嫩 O
陆 O
块 O
北 O
缘 O
, O
大 O
兴 O
安 O
岭 O
中 O
段 O
华 O
力 O
西 O
褶 O
皱 O
系 O
北 O
东 O
段 O
, O
中 O
生 O
代 O
火 O
山 O
盆 O
地 O
边 O
部 O
。 O
﻿

当前为第6条语料，且该条语料无标注实体。
其 O
地 O
理 O
座 O
标 O
, O
东 O
经 O
1 O
2 O
7 O
° O
0 O
0 O
′ O
0 O
0 O
″ O
~ O
1 O
2 O
7 O
° O
0 O
2 O
′ O
0 O
0 O
″ O
, O
北 O
纬 O
5 O
0 O
° O
2 O
1 O
′ O
0 O
0 O
″ O
~ O
5 O
0 O
° O
2 O
1 O
′ O
3 O
0 O
″ O
。 O
﻿

当前为第7条语料，且该条语料无标注实体。
出 O
露 O
的 O
地 O
层 O
主 O
要 O
有 O
中 O
生 O
界 O
上 O
侏 O
罗 O
统 O
塔 O
木 O
兰 O
沟 O
组 O
( O
图 O
1 O
) O
, O
岩 O
性 O
主 O
要 O
为 O
安 O
山 O
岩 O
、 O
安 O
山 O
质 O
火 O
山 O
角 O
砾 O
岩 O
, O
塔 O
木 O
兰 O
沟 O
组 O
火 O
山 O
岩 O
呈 O
不 O
整 O
合 O
覆 O
盖 O
于 O
晚 O
三 O
叠 O
世 O
三 O
道 O
湾 O
子 O
中 O
粒 O
二 O
长 O
花 O
岗 O
岩 O
之 O
上 O
。 O
﻿

当前为第8条语料，且该条语料无标注实体。
塔 O
木 O
兰 O
沟 O
组 O
为 O
近 O
矿 O
围 O
岩 O
, O
主 O
要 O
构 O
造 O
线 O
呈 O
北 O
西 O
向 O
, O
其 O
次 O
为 O
北 O
东 O
向 O
。 O
﻿

当前为第9条语料，且该条语料无标注实体。
北 O
西 O
向 O
断 O
裂 O
控 O
制 O
着 O
矿 O
化 O
带 O
及 O
矿 O
体 O
的 O
分 O
布 O
, O
成 O
矿 O
后 O
仍 O
有 O
活 O
动 O
, O
导 O
致 O
一 O
些 O
矿 O
体 O
被 O
错 O
断 O
。 O
﻿

当前为第10条语料，且该条语料无标注实体。
北 O
东 O
向 O
断 O
裂 O
一 O
般 O
不 O
控 O
制 O
矿 O
体 O
产 O
出 O
, O
表 O
现 O
为 O
成 O
矿 O
后 O
断 O
裂 O
的 O
特 O
征 O
。 O
﻿

当前为第11条语料，且该条语料无标注实体。
围 O
岩 O
蚀 O
变 O
主 O
要 O
有 O
硅 O
化 O
、 O
黄 O
铁 O
矿 O
化 O
、 O
高 O
岭 O
土 O
化 O
、 O
绿 O
泥 O
石 O
化 O
